id,text
1,"The customer reported that the mobile application crashes after the latest update on Android devices."
2,"Our AI system uses a transformer-based language model to generate context-aware responses."
3,"The delivery was delayed due to supply chain disruptions caused by extreme weather conditions."
4,"Sentiment analysis models often struggle with sarcasm and implicit emotional expressions."
5,"The software engineer optimized the database query to reduce latency by 40 percent."
6,"This product offers excellent value for money, but lacks advanced customization options."
7,"Machine learning pipelines require careful data preprocessing and feature engineering."
8,"The user interface is intuitive, but the onboarding process could be improved."
9,"Large language models can be integrated with external tools using agent-based architectures."
10,"The customer support team resolved the issue promptly and professionally."
